link,name,avgRating,numOfRating,category,price,plusCode,
https://www.google.com/maps/place/InterContinental+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x31423d9e47319525:0xef666004ccd18293!5m2!4m1!1i2!8m2!3d16.1225743!4d108.3070154!16s%2Fg%2F11f4wv3vgg!19sChIJJZUxR549QjERk4LRzARgZu8?authuser=0&hl=vi&rclk=1,InterContinental Đà Nẵng,"4,8",(558),Khách sạn 4 sao,17 Tr,,
https://www.google.com/maps/place/Furama+Villas+Danang/data=!4m10!3m9!1s0x31421742c2fd4ea1:0xbe5b6da59bfb421c!5m2!4m1!1i2!8m2!3d16.0380152!4d108.2515831!16s%2Fg%2F1tgj69jp!19sChIJoU79wkIXQjERHEL7m6VtW74?authuser=0&hl=vi&rclk=1,Furama Villas Danang,"4,5",(896),Khách sạn 5 sao,"10,7 Tr",,
https://www.google.com/maps/place/Mandila+Beach+Hotel/data=!4m10!3m9!1s0x31421783f5350a4d:0x8a1da39a616d3bd4!5m2!4m1!1i2!8m2!3d16.0674565!4d108.244984!16s%2Fg%2F11df1v9d1q!19sChIJTQo19YMXQjER1DttYZqjHYo?authuser=0&hl=vi&rclk=1,Mandila Beach Hotel,"4,4",(704),Khách sạn 4 sao,879 N,,
https://www.google.com/maps/place/Danang+Golden+Bay+Hotel/data=!4m10!3m9!1s0x3142180fe0af6541:0x7286a33cefda8ba!5m2!4m1!1i2!8m2!3d16.0977009!4d108.2246456!16s%2Fg%2F11f15k0jvs!19sChIJQWWv4A8YQjERuqj9zjNqKAc?authuser=0&hl=vi&rclk=1,Danang Golden Bay Hotel,"4,4",(3.038),Khách sạn 5 sao,"1,55 Tr",,
https://www.google.com/maps/place/Crowne+Plaza+Danang/data=!4m10!3m9!1s0x314217460327806f:0x93e2fc2f8c1657f6!5m2!4m1!1i2!8m2!3d16.0273539!4d108.2565294!16s%2Fg%2F1hhxjxwn5!19sChIJb4AnA0YXQjER9lcWjC_84pM?authuser=0&hl=vi&rclk=1,Crowne Plaza Danang,"4,2",(786),Khách sạn 4 sao,"2,76 Tr",,
https://www.google.com/maps/place/Stella+Maris+Beach+Danang/data=!4m10!3m9!1s0x314219ea6be6b977:0xbbd94c9fc384efb6!5m2!4m1!1i2!8m2!3d16.0635016!4d108.2448993!16s%2Fg%2F11j00rx9gn!19sChIJd7nma-oZQjERtu-Ew59M2bs?authuser=0&hl=vi&rclk=1,Stella Maris Beach Danang,"4,3",(473),Khách sạn 4 sao,"1,45 Tr",,
https://www.google.com/maps/place/Diamond+Sea+Hotel/data=!4m10!3m9!1s0x31421783ecacb2cd:0x1b3ab65dcfd4ff59!5m2!4m1!1i2!8m2!3d16.0665018!4d108.2450398!16s%2Fg%2F1pp2vgq8x!19sChIJzbKs7IMXQjERWf_Uz122Ohs?authuser=0&hl=vi&rclk=1,Diamond Sea Hotel,"4,2",(1.074),Khách sạn 4 sao,796 N,,
https://www.google.com/maps/place/Kh%C3%A1ch+S%E1%BA%A1n+SeaShore/data=!4m10!3m9!1s0x314217f205d825a1:0x3558404e24eb3da0!5m2!4m1!1i2!8m2!3d16.0893555!4d108.24933!16s%2Fg%2F11fhqqt7xd!19sChIJoSXYBfIXQjERoD3rJE5AWDU?authuser=0&hl=vi&rclk=1,Khách Sạn SeaShore,"4,4",(285),Khách sạn 3 sao,608 N,,
https://www.google.com/maps/place/Haian+Beach+Hotel+%26+Spa/data=!4m10!3m9!1s0x3142177a5e88b85b:0x6efe50bad84535c3!5m2!4m1!1i2!8m2!3d16.0530442!4d108.2475282!16s%2Fg%2F11f66td7p7!19sChIJW7iIXnoXQjERwzVF2LpQ_m4?authuser=0&hl=vi&rclk=1,Haian Beach Hotel & Spa,"4,3",(1.002),Khách sạn 4 sao,"1,04 Tr",,
https://www.google.com/maps/place/Vinpearl+Luxury+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x314210cbebc12213:0xc6fc741592df54ec!5m2!4m1!1i2!8m2!3d16.005484!4d108.2660988!16s%2Fg%2F11c56cb8gk!19sChIJEyLB68sQQjER7FTfkhV0_MY?authuser=0&hl=vi&rclk=1,Vinpearl Luxury Đà Nẵng,"4,6",(2.206),Khách sạn 5 sao,"5,07 Tr",,
https://www.google.com/maps/place/Paris+Deli+Danang+Beach+Hotel/data=!4m10!3m9!1s0x3142178475235b4f:0xd47d269b29cab148!5m2!4m1!1i2!8m2!3d16.0663054!4d108.2449758!16s%2Fg%2F11f04dn5dr!19sChIJT1sjdYQXQjERSLHKKZsmfdQ?authuser=0&hl=vi&rclk=1,Paris Deli Danang Beach Hotel,"4,1",(765),Khách sạn 4 sao,930 N,,
https://www.google.com/maps/place/Haian+Riverfront+Da+Nang+Hotel/data=!4m10!3m9!1s0x314218328cba5f7b:0x2aff1fe3766a6839!5m2!4m1!1i2!8m2!3d16.0661896!4d108.2244309!16s%2Fg%2F11j99sqt9n!19sChIJe1-6jDIYQjEROWhqduMf_yo?authuser=0&hl=vi&rclk=1,Haian Riverfront Da Nang Hotel,"4,4",(112),Khách sạn 4 sao,844 N,,
https://www.google.com/maps/place/Minh+Boutique/data=!4m10!3m9!1s0x314217ab090fcd1b:0x5d5f20ada700313c!5m2!4m1!1i2!8m2!3d16.069539!4d108.2418203!16s%2Fg%2F11hzc_p7vr!19sChIJG80PCasXQjERPDEAp60gX10?authuser=0&hl=vi&rclk=1,Minh Boutique,"4,6",(127),Khách sạn,"1,22 Tr",,
https://www.google.com/maps/place/Sel+de+Mer+Hotel+%26+Suites/data=!4m10!3m9!1s0x31421738255a84a1:0x1054f22f47f39773!5m2!4m1!1i2!8m2!3d16.0806247!4d108.246817!16s%2Fg%2F11hyfnfg_k!19sChIJoYRaJTgXQjERc5fzRy_yVBA?authuser=0&hl=vi&rclk=1,Sel de Mer Hotel & Suites,"4,5",(167),Khách sạn,"1,59 Tr",,
https://www.google.com/maps/place/Serene+Beach+Hotel/data=!4m10!3m9!1s0x314217fc00185a8b:0xed5955ccd96d31c1!5m2!4m1!1i2!8m2!3d16.0534997!4d108.2476765!16s%2Fg%2F11cjnn8sqd!19sChIJi1oYAPwXQjERwTFt2cxVWe0?authuser=0&hl=vi&rclk=1,Serene Beach Hotel,"4,0",(511),Khách sạn 4 sao,810 N,,
https://www.google.com/maps/place/Rosamia+Da+Nang+Hotel/data=!4m10!3m9!1s0x31421797205f4887:0xfd966509f0e698ac!5m2!4m1!1i2!8m2!3d16.0525558!4d108.2476411!16s%2Fg%2F11ff5n57dn!19sChIJh0hfIJcXQjERrJjm8Alllv0?authuser=0&hl=vi&rclk=1,Rosamia Da Nang Hotel,"4,1",(158),Khách sạn 5 sao,"1,77 Tr",,
https://www.google.com/maps/place/Hero+Sea+Hotel/data=!4m10!3m9!1s0x314217b8f75f2745:0xa4bed992dc020572!5m2!4m1!1i2!8m2!3d16.0685182!4d108.2440369!16s%2Fg%2F11t5drgql_!19sChIJRSdf97gXQjERcgUC3JLZvqQ?authuser=0&hl=vi&rclk=1,Hero Sea Hotel,"5,0",(2),Khách sạn nghỉ dưỡng,506 N,,
https://www.google.com/maps/place/Eden+Ocean+View+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x31421774fd18bf0b:0x7b0011a1b0a5d19c!5m2!4m1!1i2!8m2!3d16.0509613!4d108.248331!16s%2Fg%2F11fp1l7z5j!19sChIJC78Y_XQXQjERnNGlsKERAHs?authuser=0&hl=vi&rclk=1,Eden Ocean View Đà Nẵng,"4,0",(184),Khách sạn 5 sao,649 N,,
https://www.google.com/maps/place/Grand+Ocean+Luxury+Boutique/data=!4m10!3m9!1s0x3142178aa2b2bf0d:0x1a3b797a2030f281!5m2!4m1!1i2!8m2!3d16.0548853!4d108.2449344!16s%2Fg%2F11h2k2gxbz!19sChIJDb-yoooXQjERgfIwIHp5Oxo?authuser=0&hl=vi&rclk=1,Grand Ocean Luxury Boutique,"4,6",(66),Khách sạn 4 sao,633 N,,
https://www.google.com/maps/place/Altara+Suites/data=!4m10!3m9!1s0x3142178e951e057f:0xcb21e725c9b2bd8a!5m2!4m1!1i2!8m2!3d16.0775799!4d108.2452822!16s%2Fg%2F11f5ly96k4!19sChIJfwUelY4XQjERir2yySXnIcs?authuser=0&hl=vi&rclk=1,Altara Suites,"4,4",(491),Khách sạn 5 sao,"1,59 Tr",,
