link,name,avgRating,numOfRating,category,plusCode
https://www.google.com/maps/place/V+Lounge/data=!4m7!3m6!1s0x31421955e75fa37b:0xa81c66b3bd40c8ad!8m2!3d16.054647!4d108.2224387!16s%2Fg%2F11flbwldgn!19sChIJe6Nf51UZQjERrchAvbNmHKg?authuser=0&hl=vi&rclk=1,V Lounge,"4,4",(25),Quán bar,363C+VX4
https://www.google.com/maps/place/The+Craftsman+Cocktail+Bar/data=!4m7!3m6!1s0x3142171dffdf1793:0x9eb7c5c037c22f08!8m2!3d16.0464522!4d108.2468395!16s%2Fg%2F11h2qtp75k!19sChIJkxff_x0XQjERCC_CN8DFt54?authuser=0&hl=vi&rclk=1,The Craftsman Cocktail Bar,"4,8",(256),Quán bar cocktail,48 Phan Tứ
https://www.google.com/maps/place/Ocean+Sky+Bar+Da+Nang/data=!4m7!3m6!1s0x31421794de3c5d0d:0xd785037ac121d19b!8m2!3d16.0526694!4d108.2478635!16s%2Fg%2F11fmxtgzk_!19sChIJDV083pQXQjERm9EhwXoDhdc?authuser=0&hl=vi&rclk=1,Ocean Sky Bar Da Nang,"5,0",(4),Quán bar,282 Võ Nguyên Giáp
https://www.google.com/maps/place/Saigon+chill/data=!4m7!3m6!1s0x3142193c060f39f5:0xee497d820ebc4e40!8m2!3d16.0623218!4d108.2231901!16s%2Fg%2F11qqbwypfs!19sChIJ9TkPBjwZQjERQE68DoJ9Se4?authuser=0&hl=vi&rclk=1,Saigon chill,"4,9",(21),Quán bar cocktail,260 Đ. Trần Phú
https://www.google.com/maps/place/Luna+Pub+-+Pizza+%26+%C4%90%E1%BB%93+%C4%83n+%C3%9D/data=!4m7!3m6!1s0x3142183b760f97ff:0x6ec781e46b72552d!8m2!3d16.079802!4d108.223151!16s%2Fg%2F1hd_mtq76!19sChIJ_5cPdjsYQjERLVVya-SBx24?authuser=0&hl=vi&rclk=1,Luna Pub - Pizza & Đồ ăn Ý,"4,3",(1.088),Quán bar,9A Đ. Trần Phú
https://www.google.com/maps/place/Brilliant+Top+Bar/data=!4m7!3m6!1s0x314219d6630ab71f:0xb8a758479fc0ac70!8m2!3d16.0667018!4d108.2246507!16s%2Fg%2F11h7jbwzws!19sChIJH7cKY9YZQjERcKzAn0dYp7g?authuser=0&hl=vi&rclk=1,Brilliant Top Bar,"4,8",(121),Quán bar,162 Bạch Đằng
https://www.google.com/maps/place/S.O.N+Beer+Club/data=!4m7!3m6!1s0x314219e9ae3299ab:0xa1184b3674c82dda!8m2!3d16.0391729!4d108.2223748!16s%2Fg%2F11rq22mvm8!19sChIJq5kyrukZQjER2i3IdDZLGKE?authuser=0&hl=vi&rclk=1,S.O.N Beer Club,,,Quán bar,Kiệt 383 Núi Thành
https://www.google.com/maps/place/Dachazz+Gastrolounge/data=!4m7!3m6!1s0x31421744558b2b23:0x10f1b2c5220b2676!8m2!3d16.0497583!4d108.2480742!16s%2Fg%2F11qq3rkx73!19sChIJIyuLVUQXQjERdiYLIsWy8RA?authuser=0&hl=vi&rclk=1,Dachazz Gastrolounge,"4,7",(12),Quán bar,02 An Thượng 1
https://www.google.com/maps/place/Nuna+Lounge/data=!4m7!3m6!1s0x31421906288e5fbd:0x3c8a72d6e1ce0ee5!8m2!3d16.0656756!4d108.2223219!16s%2Fg%2F11frdr3fsq!19sChIJvV-OKAYZQjER5Q7O4dZyijw?authuser=0&hl=vi&rclk=1,Nuna Lounge,"4,5",(84),Quán bar,100 Yên Bái
https://www.google.com/maps/place/Chicland+Lounge/data=!4m7!3m6!1s0x314217a7d662f817:0x628f87126c861f8d!8m2!3d16.0680085!4d108.2449448!16s%2Fg%2F11h4f0lmck!19sChIJF_hi1qcXQjERjR-GbBKHj2I?authuser=0&hl=vi&rclk=1,Chicland Lounge,"5,0",(5),Quán bar,"Tầng Mái, 210 Võ Nguyên Giáp"
https://www.google.com/maps/place/Section+30+-+Craft+Beer+%26+Cocktail+Pub/data=!4m7!3m6!1s0x3142170a8b3754c9:0xa050c2c3e6d78234!8m2!3d16.0512061!4d108.2462336!16s%2Fg%2F11h49kmpcx!19sChIJyVQ3iwoXQjERNILX5sPCUKA?authuser=0&hl=vi&rclk=1,Section 30 - Craft Beer & Cocktail Pub,"4,8",(286),Quán rượu,An Thượng 30
