link,name,avgRating,numOfRating,category,plusCode
https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+B%E1%BA%BFp+Vi%E1%BB%87t/data=!4m7!3m6!1s0x314219a6206854c3:0xeee4b67076eb55db!8m2!3d16.0406114!4d108.2179555!16s%2Fg%2F11gydkkt4j!19sChIJw1RoIKYZQjER21XrdnC25O4?authuser=0&hl=vi&rclk=1,Nhà hàng Bếp Việt,"4,1",(114),Món ăn Việt Nam,"30 Tháng 4, Lê Thanh Nghị"
https://www.google.com/maps/place/La+Tiato+Restaurant/data=!4m7!3m6!1s0x314217a37a27544f:0xf5841af3699a04d0!8m2!3d16.0549648!4d108.2441276!16s%2Fg%2F11hdwfq98y!19sChIJT1QneqMXQjER0ASaafMahPU?authuser=0&hl=vi&rclk=1,La Tiato Restaurant,"5,0",(9),Nhà hàng,09 Lê Quang Đạo
https://www.google.com/maps/place/NG%C6%AF+PH%E1%BB%90+-+Ch%E1%BA%A3+C%C3%A1+H%C3%A0+N%E1%BB%99i+t%E1%BA%A1i+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x3142190472b3104d:0x8b4a0d69b5693dad!8m2!3d16.0643872!4d108.2237235!16s%2Fg%2F11px3_1lhw!19sChIJTRCzcgQZQjERrT1ptWkNSos?authuser=0&hl=vi&rclk=1,NGƯ PHỐ - Chả Cá Hà Nội tại Đà Nẵng,"4,6",(24),Nhà hàng,219 Đ. Trần Phú
https://www.google.com/maps/place/H%E1%BA%A3i+S%E1%BA%A3n+Cua+Bi%E1%BB%83n+1/data=!4m7!3m6!1s0x3142178d106b9851:0xb6c05bd8d2d6dc3c!8m2!3d16.0785387!4d108.2457365!16s%2Fg%2F11b6plhm72!19sChIJUZhrEI0XQjERPNzW0thbwLY?authuser=0&hl=vi&rclk=1,Hải Sản Cua Biển 1,"3,9",(779),Đồ hải sản,112 Võ Nguyên Giáp
https://www.google.com/maps/place/%C4%90%E1%BA%B7c+S%E1%BA%A3n+D%C3%AA+N%C3%BAi+Ninh+B%C3%ACnh+T%E1%BA%A1i+%C4%90%C3%A0+N%E1%BA%B5ng-Nh%C3%A0+h%C3%A0ng+Hoa+L%C6%B0+(Hoa+Lu+restaurant)/data=!4m7!3m6!1s0x314219c078e0bb35:0x2e28e3601ba8bd09!8m2!3d16.0482373!4d108.2098977!16s%2Fg%2F11g8v4yx99!19sChIJNbvgeMAZQjERCb2oG2DjKC4?authuser=0&hl=vi&rclk=1,Đặc Sản Dê Núi Ninh Bình Tại Đà Nẵng-Nhà hàng Hoa Lư (Hoa Lu restaurant),"4,1",(640),Nhà hàng,113 Nguyễn Hữu Thọ
https://www.google.com/maps/place/Asiana+Bistro+%26+Restaurant/data=!4m7!3m6!1s0x314219d34133b4b7:0xbb03f85fc4198b50!8m2!3d16.0622333!4d108.230472!16s%2Fg%2F11c602mt31!19sChIJt7QzQdMZQjERUIsZxF_4A7s?authuser=0&hl=vi&rclk=1,Asiana Bistro & Restaurant,"3,5",(27),Món ăn Việt Nam,"366J+V5X, Lý Nam Đế"
https://www.google.com/maps/place/H%E1%BB%87+Th%E1%BB%91ng+Nh%C3%A0+H%C3%A0ng+D%C3%AA+Ngh%C4%A9a/data=!4m7!3m6!1s0x3142176295034d89:0x74d9751a03a700d!8m2!3d16.0495941!4d108.239138!16s%2Fg%2F11b7gq4swd!19sChIJiU0DlWIXQjERDXA6oFGXTQc?authuser=0&hl=vi&rclk=1,Hệ Thống Nhà Hàng Dê Nghĩa,"4,2",(809),Món ăn Việt Nam,145 Đỗ Bá
https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Tuy%C3%AAn+S%C6%A1n/data=!4m7!3m6!1s0x3142175f0a556fb5:0xded9f2d1a31a1e96!8m2!3d16.0605924!4d108.2050233!16s%2Fg%2F11b5qvvpkr!19sChIJtW9VCl8XQjERlh4ao9Hy2d4?authuser=0&hl=vi&rclk=1,Nhà Hàng Tuyên Sơn,"3,7",(516),Món ăn Việt Nam,148 Nguyễn Tri Phương
https://www.google.com/maps/place/Qu%C3%A1n+B%C3%A9+M%E1%BA%B7n+-+H%E1%BA%A3i+s%E1%BA%A3n+t%C6%B0%C6%A1i+s%E1%BB%91ng+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x3142177e2337b745:0x1489c230ee739854!8m2!3d16.0818199!4d108.2472798!16s%2Fg%2F12ltdh_4z!19sChIJRbc3I34XQjERVJhz7jDCiRQ?authuser=0&hl=vi&rclk=1,Quán Bé Mặn - Hải sản tươi sống Đà Nẵng,"3,7",(5.185),Đồ hải sản,Lô 8 Võ Nguyên Giáp
https://www.google.com/maps/place/My+Casa/data=!4m7!3m6!1s0x31421785e49d43cf:0x6faad102267d0598!8m2!3d16.0717751!4d108.2427547!16s%2Fg%2F1q62bw489!19sChIJz0Od5IUXQjERmAV9JgLRqm8?authuser=0&hl=vi&rclk=1,My Casa,"4,5",(886),Món ăn Tây Ban Nha,53 Morrison
https://www.google.com/maps/place/D%E1%BB%8Bch+V%E1%BB%A5+N%E1%BA%A5u+%C4%82n+-+%C4%90%E1%BA%B7t+Ti%E1%BB%87c+T%E1%BA%A1i+Nh%C3%A0+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x3142190ca008e439:0xd0dd6beea16d655f!8m2!3d16.0448953!4d108.1847727!16s%2Fg%2F11cnbvp6g6!19sChIJOeQIoAwZQjERX2Vtoe5r3dA?authuser=0&hl=vi&rclk=1,Dịch Vụ Nấu Ăn - Đặt Tiệc Tại Nhà Đà Nẵng,"4,7",(32),Nhà hàng,"Q. Thanh Khê, Q., 281 Trường Chinh, An Khê"
https://www.google.com/maps/place/Da+Nang+Restaurant/data=!4m7!3m6!1s0x3142178039d4e6c3:0x49f750f6345a16b0!8m2!3d16.0635998!4d108.2398993!16s%2Fg%2F11c45nyg3g!19sChIJw-bUOYAXQjERsBZaNPZQ90k?authuser=0&hl=vi&rclk=1,Da Nang Restaurant,"3,8",(70),Nhà hàng,307 Chính Hữu
https://www.google.com/maps/place/La+Plage/data=!4m7!3m6!1s0x314211f54e547e73:0xa3f4844da0eae895!8m2!3d15.9825!4d108.2798843!16s%2Fg%2F11f6z3jdwg!19sChIJc35UTvURQjERlejqoE2E9KM?authuser=0&hl=vi&rclk=1,La Plage,"4,4",(131),Nhà hàng,"35 Truong Sa Street, Hoa Hai Ward, Ngu Hanh Son District, Danang 550000"
https://www.google.com/maps/place/Anchor+Beer+Club/data=!4m7!3m6!1s0x314219b522bfd755:0xfdea89c224650826!8m2!3d16.0634057!4d108.2117934!16s%2Fg%2F11ckr6dzpv!19sChIJVde_IrUZQjERJghlJMKJ6v0?authuser=0&hl=vi&rclk=1,Anchor Beer Club,"4,3",(232),Nhà hàng,29 Quang Dũng
https://www.google.com/maps/place/%E1%BA%A8m+th%E1%BB%B1c+H%C3%A0+N%E1%BB%99i+t%E1%BA%A1i+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x314217dfb0888d7d:0xc5a1f1ec08e71b5c!8m2!3d16.0481768!4d108.245786!16s%2Fg%2F11fv49wt1q!19sChIJfY2IsN8XQjERXBvnCOzxocU?authuser=0&hl=vi&rclk=1,Ẩm thực Hà Nội tại Đà Nẵng,"5,0",(1),Nhà hàng,49 An Thượng 5
