link,name,avgRating,numOfRating,category,price,plusCode
https://www.google.com/maps/place/Danang+Golden+Bay+Hotel/data=!4m10!3m9!1s0x3142180fe0af6541:0x7286a33cefda8ba!5m2!4m1!1i2!8m2!3d16.0977009!4d108.2246456!16s%2Fg%2F11f15k0jvs!19sChIJQWWv4A8YQjERuqj9zjNqKAc?authuser=0&hl=vi&rclk=1,Danang Golden Bay Hotel,4.4,3038,Khách sạn 5 sao,"1,55 Tr",
https://www.google.com/maps/place/Le+House+Hotel+%26+Studio/data=!4m10!3m9!1s0x3142199363a15a35:0xb21435d43cdb7e3a!5m2!4m1!1i2!8m2!3d16.0773965!4d108.1646725!16s%2Fg%2F11h52n734g!19sChIJNVqhY5MZQjEROn7bPNQ1FLI?authuser=0&hl=vi&rclk=1,Le House Hotel & Studio,4.6,59,Khách sạn,258 N,
https://www.google.com/maps/place/Eden+Ocean+View+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m10!3m9!1s0x31421774fd18bf0b:0x7b0011a1b0a5d19c!5m2!4m1!1i2!8m2!3d16.0509613!4d108.248331!16s%2Fg%2F11fp1l7z5j!19sChIJC78Y_XQXQjERnNGlsKERAHs?authuser=0&hl=vi&rclk=1,Eden Ocean View Đà Nẵng,4.0,184,Khách sạn 5 sao,649 N,
https://www.google.com/maps/place/The+Herriott+Hotel+%26+Suite/data=!4m10!3m9!1s0x3142178791bc0419:0x95f05bf7e3af77d9!5m2!4m1!1i2!8m2!3d16.0718834!4d108.238671!16s%2Fg%2F11f4wtk8wb!19sChIJGQS8kYcXQjER2Xev4_db8JU?authuser=0&hl=vi&rclk=1,The Herriott Hotel & Suite,4.0,308,Khách sạn 3 sao,616 N,
https://www.google.com/maps/place/Soho+Boutique+Hotel+Da+Nang/data=!4m10!3m9!1s0x3142178405d8f1fd:0xd2b5638d4344c8d9!5m2!4m1!1i2!8m2!3d16.0680901!4d108.2443257!16s%2Fg%2F11f3m97mf0!19sChIJ_fHYBYQXQjER2chEQ41jtdI?authuser=0&hl=vi&rclk=1,Soho Boutique Hotel Da Nang,4.2,125,Khách sạn 3 sao,502 N,
https://www.google.com/maps/place/Adaline+Hotel+%26+Suite/data=!4m10!3m9!1s0x314217821e64262b:0x61a9113df756b76c!5m2!4m1!1i2!8m2!3d16.0631916!4d108.243739!16s%2Fg%2F11c2q18k7_!19sChIJKyZkHoIXQjERbLdW9z0RqWE?authuser=0&hl=vi&rclk=1,Adaline Hotel & Suite,4.2,513,Khách sạn 3 sao,452 N,
https://www.google.com/maps/place/Kh%C3%A1ch+s%E1%BA%A1n+Th%C3%A1i+B%C3%ACnh+D%C6%B0%C6%A1ng/data=!4m10!3m9!1s0x314218349feb8845:0xa8feb92d3013f110!5m2!4m1!1i2!8m2!3d16.0657195!4d108.2199161!16s%2Fg%2F1vd73c_c!19sChIJRYjrnzQYQjEREPETMC25_qg?authuser=0&hl=vi&rclk=1,Khách sạn Thái Bình Dương,3.6,188,Khách sạn 3 sao,246 N,
https://www.google.com/maps/place/Sea+Phoenix+Hotel/data=!4m10!3m9!1s0x31421767c4da0ea3:0xe233750a836eb2ca!5m2!4m1!1i2!8m2!3d16.040961!4d108.248351!16s%2Fg%2F11b7vxst6_!19sChIJow7axGcXQjERyrJugwp1M-I?authuser=0&hl=vi&rclk=1,Sea Phoenix Hotel,3.9,438,Khách sạn 3 sao,573 N,
https://www.google.com/maps/place/Seahorse+Hostel+%26+Bar+by+HAVI/data=!4m10!3m9!1s0x314219c028eb4383:0xe96f39bf22c8280a!5m2!4m1!1i2!8m2!3d16.0677959!4d108.2245421!16s%2Fg%2F11fhrhm73t!19sChIJg0PrKMAZQjERCijIIr85b-k?authuser=0&hl=vi&rclk=1,Seahorse Hostel & Bar by HAVI,4.6,200,Nhà trọ,300 N,
https://www.google.com/maps/place/Dang's+Hotel/data=!4m10!3m9!1s0x314219d354fd5319:0xd7074f4e4839f4c3!5m2!4m1!1i2!8m2!3d16.0629988!4d108.2316334!16s%2Fg%2F11gkbmn48j!19sChIJGVP9VNMZQjERw_Q5SE5PB9c?authuser=0&hl=vi&rclk=1,Dang's Hotel,4.4,38,Khách sạn,378 N,
https://www.google.com/maps/place/Fivitel+Danang+Hotel/data=!4m10!3m9!1s0x314219d7590cbd69:0xee68199c5717ac79!5m2!4m1!1i2!8m2!3d16.0521669!4d108.2328437!16s%2Fg%2F11g9vlsh9b!19sChIJab0MWdcZQjEReawXV5wZaO4?authuser=0&hl=vi&rclk=1,Fivitel Danang Hotel,4.4,745,Khách sạn,773 N,
https://www.google.com/maps/place/AVORA+Boutique+Hotel/data=!4m10!3m9!1s0x3142191cf8055797:0x1241956b402aca84!5m2!4m1!1i2!8m2!3d16.0707707!4d108.2153345!16s%2Fg%2F11gxjtx0hw!19sChIJl1cF-BwZQjERhMoqQGuVQRI?authuser=0&hl=vi&rclk=1,AVORA Boutique Hotel,4.4,211,Khách sạn 3 sao,532 N,
https://www.google.com/maps/place/Valentine+Hotel/data=!4m10!3m9!1s0x31421783f78048f9:0xe8a54dc693174273!5m2!4m1!1i2!8m2!3d16.0674839!4d108.2444458!16s%2Fg%2F11cnc5h325!19sChIJ-UiA94MXQjERc0IXk8ZNpeg?authuser=0&hl=vi&rclk=1,Valentine Hotel,3.9,231,Khách sạn 2 sao,316 N,
